Brand,Model_Name,CC,BHP,Mileage,Price,Type,Weight,Rating
Royal-Enfield,Royal Enfield Hunter 350,349.34,20.2,35,"₹ 1,49,900",Petrol,177,4.8
Royal-Enfield,Royal Enfield Classic 350,349,20.2,34,"₹ 1,95,300",Petrol,195,4.7
Royal-Enfield,Royal Enfield Continental GT 650,648,47,25,"₹ 3,18,801",Petrol,211,4.8
Royal-Enfield,Royal Enfield Bullet 350,349,20.2,36,"₹ 1,74,875",Petrol,195,4.7
Royal-Enfield,Royal Enfield Meteor 350,349.34,19.94,35,"₹ 2,08,191",Petrol,191,4.6
Royal-Enfield,Royal Enfield Himalayan 450,452,39.47,29,"₹ 2,85,000",Petrol,196,4.7
Royal-Enfield,Royal Enfield Guerrilla 450,452,39.47,30,"₹ 2,39,000",Petrol,185,4.7
Royal-Enfield,Royal Enfield Shotgun 650,648,46.39,23,"₹ 3,59,435",Petrol,240,4.8
Royal-Enfield,Royal Enfield Super Meteor 650,648,46.3,25.5,"₹ 3,68,085",Petrol,241,4.8
Royal-Enfield,Royal Enfield Classic 650,647.95,46.39,29.5,"₹ 3,37,000",Petrol,243,4.4
Royal-Enfield,Royal Enfield Goan Classic 350,349,20.2,33,"₹ 2,35,000",Petrol,197,4.8
Royal-Enfield,Royal Enfield Interceptor 650,648,47,21.5,"₹ 3,02,802",Petrol,213,4.6
Royal-Enfield,Royal Enfield Scram 440,443,25.4,30,"₹ 2,08,000",Petrol,196,4.2
Royal-Enfield,Royal Enfield Bear 650,648,46.8,25,"₹ 3,39,005",Petrol,216,4.6
Honda,Honda SP 125,123.94,10.72,60,"₹ 92,734",Petrol,116,4.5
Honda,Honda Activa,109.51,7.88,45,"₹ 83,775",Petrol,106,4.4
Honda,Honda Shine,123.94,10.59,55,"₹ 85,139",Petrol,113,4.4
Honda,Honda Unicorn,162.71,13,51,"₹ 1,19,729",Petrol,139,4.4
Honda,Honda Activa 125,123.92,8.3,45,"₹ 97,276",Petrol,107,4.5
Honda,Honda CB350,348.66,20.7,35,"₹ 2,14,763",Petrol,186,4.7
Honda,Honda SP160,162.71,13.27,50,"₹ 1,22,472",Petrol,138,4.5
Honda,Honda Hornet 2.0,184.4,17.03,45,"₹ 1,57,234",Petrol,142,4.2
Honda,Honda Hness CB350,348.36,20.78,35,"₹ 2,10,480",Petrol,181,4.5
Honda,Honda Activa e,0,,102,"₹ 1,17,000",EV,118,4.6
Honda,Honda Dio,109.51,7.75,48,"₹ 77,173",Petrol,106,4.5
Honda,Honda CB350RS,348.36,20.78,35.5,"₹ 2,15,503",Petrol,180,4.6
Honda,Honda Shine 100,98.98,7.28,71.5,"₹ 68,894",Petrol,99,4.7
Honda,Honda Dio 125,123.92,8.19,48,"₹ 97,132",Petrol,105,4.6
Honda,Honda NX200,184.4,17.03,38,"₹ 1,68,490",Petrol,148,4.7
Honda,Honda Livo,109.51,8.67,60,"₹ 83,569",Petrol,112,4.4
Honda,Honda Rebel 500,471,45.5,,"₹ 5,12,000",Petrol,191,5
Honda,Honda CB300R,286,30.7,31,"₹ 2,40,005",Petrol,146,4.7
Honda,Honda CB200X,184.4,17.03,40,"₹ 1,51,118",Petrol,147,4.4
Honda,Honda CB1000 Hornet,999,155,,"₹ 12,35,900",Petrol,211,5
Honda,Honda CBR650R,649,93.8,,"₹ 10,39,948",Petrol,209,4.5
Honda,Honda CB300F Flex-Fuel,293.52,24.54,35,"₹ 1,70,006",Petrol,153,4.6
Honda,Honda CB750 Hornet,755,90.5,,"₹ 8,59,500",Petrol,191,5
Honda,Honda Goldwing Tour,1833,124.7,17.5,"₹ 39,77,917",Petrol,390,4.7
Honda,Honda NX500,471,46.9,,"₹ 5,90,000",Petrol,196,4.7
Honda,Honda CB650R,649,93.8,,"₹ 9,59,974",Petrol,205,
Honda,Honda QC1,0,,80,"₹ 90,000",EV,89.5,4.5
Honda,Honda X-ADV,745,57.79,,"₹ 11,90,065",Petrol,,4.5
Honda,Honda Africa Twin,1082,97.89,,"₹ 16,01,500",Petrol,239,4.9
Honda,Honda Transalp XL750,755,90.5,,"₹ 10,99,990",Petrol,208,5
Bajaj,Bajaj Pulsar N160,164.82,15.68,47,"₹ 1,29,110",Petrol,154,4.6
Bajaj,Bajaj Pulsar NS200,199.5,24.13,41,"₹ 1,58,857",Petrol,158,4.7
Bajaj,Bajaj Pulsar NS400Z,373,39.4,32,"₹ 1,85,176",Petrol,174,4.6
Bajaj,Bajaj Pulsar 150,149.5,13.8,47,"₹ 1,14,306",Petrol,148,4.5
Bajaj,Bajaj Pulsar 125,124.4,11.64,52,"₹ 86,813",Petrol,140,4.4
Bajaj,Bajaj Pulsar NS125,124.45,11.8,50,"₹ 1,03,254",Petrol,144,4.5
